"Listing Number","Property Type","Short Address","List Price","Parcel ID","Sold Date","Sold Price","Sold Price/SqFt","SqFt - Living","SqFt - Total","Subdivision","Waterfront","Days On Market"
"RX-10558440","Residential","2600 S Ocean Boulevard 303n","799000.00","50434423060013030","2019-11-27","690000.00","461.53","1495.00","1600.00","TWENTY SIX HUNDRED CONDO","Yes","75"
"RX-10752016","Residential","3475 S Ocean Boulevard 105","427500.00","50434435020001050","2021-12-03","400000.00","286.73","1395.00","1500.00","LA BONNE VIE CONDO","Yes","33"
"RX-10521866","Residential","2720 S Ocean Boulevard 113","195000.00","50434423170001130","2021-06-02","300000.00","347.62","863.00","863.00","TWENTY SEVEN HUNDRED S OCEAN EDGEWATER HOUSE","Yes","358"
"RX-10677173","Residential","2773 S Ocean Boulevard 403","399000.00","50434423040004030","2021-03-29","390000.00","280.77","1389.00","1389.00","CARLYLE HOUSE CONDO","Yes","72"
"RX-10542915","Residential","2000 S Ocean Boulevard 306s","1595000.00","50434411050023060","2020-12-31","1500000.00","457.31","3280.00","4000.00","TWO THOUSAND CONDO","Yes","400"
"RX-10836401","Residential","3230 S Ocean Boulevard C306","429800.00","50434426010003060","2023-02-28","429800.00","365.47","1176.00","1176.00","LA RENAISSANCE","Yes","110"
"RX-10482761","Residential","2100 S Ocean Boulevard 101s","3425000.00","50434414020021010","2021-04-15","3052000.00","982.29","3107.00","3264.00","TWENTY ONE HUNDRED CONDO","Yes","649"
"RX-10627867","Residential","12 Sloans Curve Drive","5450000.00","50434411070000120","2020-12-23","5450000.00","1234.98","4413.00","5935.00","RESIDENCES AT SLOANS CURVE","Yes","181"
"RX-10588682","Residential","2720 S Ocean Boulevard 119","279500.00","50434423170001190","2021-06-02","400000.00","345.42","1158.00","1230.00","TWENTY SEVEN HUNDRED S OCEAN EDGEWATER HOUSE","Yes","180"
"RX-10672020","Residential","3475 S Ocean Boulevard 6050","399000.00","50434435020006050","2020-12-22","390000.00","279.56","1395.00","1395.00","LA BONNE VIE CONDO","Yes","10"
"RX-10646751","Residential","2335 S Ocean Boulevard A-3","1150000.00","50434414030010030","2020-12-20","1050000.00","373.66","2810.00","4879.00","TRES VIDAS OF PALM BEACH","No","87"
"RX-10322696","Residential","3170 S Ocean Boulevard 305 S","995000.00","50434426080023050","2018-10-04","875000.00","296.61","2950.00","2950.00","ENCLAVE OF PALM BEACH CONDO","Yes","508"
"RX-10424444","Residential","2860 S Ocean Boulevard 304","189000.00","50434423030003040","2018-10-03","180000.00","177.86","1012.00","1012.00","LA PALMA CONDO","Yes","141"
"RX-10385976","Residential","3200 S Ocean Boulevard C303","399000.00","50434426020033030","2018-07-18","375000.00","254.06","1476.00","1476.00","THIRTY TWO HUNDRED CONDO","Yes","194"
"RX-10415500","Residential","2860 S Ocean Boulevard 505","295000.00","50434423030005050","2018-07-18","270000.00","192.85","1400.00","1400.00","LA PALMA","Yes","74"
"FX-10115823","Residential","3250 S Ocean Boulevard 105S","379000.00","50434426030021050","2018-07-19","369000.00","227.64","1621.00","1621.00","DORCHESTER OF PALM BEACH","Yes","60"
"RX-10442067","Residential","3250 S Ocean Boulevard 206n","595000.00","50434426030012060","2018-07-20","550000.00","314.64","1748.00","1748.00","DORCHESTER OF PALM BEACH CONDO","Yes","11"
"RX-10401382","Residential","2500 S Ocean Boulevard 2 A 5","1875000.00","50434423070020015","2018-07-24","1300000.00","501.93","2590.00","2590.00","TWENTY FIVE HUNDRED SOUTH OCEAN BLVD CONDO","Yes","132"
"RX-10430088","Residential","3250 S Ocean Boulevard 210n","550000.00","50434426030012100","2018-07-26","490000.00","298.78","1640.00","1640.00","DORCHESTER OF PALM BEACH CONDO","Yes","71"
"RX-10414674","Residential","2195 Ibis Isle Road 7","699000.00","50434415220000070","2018-07-31","660000.00","471.42","1400.00","1400.00","VILLA LAC BEAU OF IBIS ISLE CONDO","Yes","113"
"RX-10409139","Residential","2505 S Ocean Boulevard 3060","349000.00","50434423010003060","2018-07-31","315000.00","232.64","1354.00","1116.00","President of Palm Beach","Yes","65"
"RX-10430437","Residential","2860 S Ocean Boulevard 408","298000.00","50434423030004080","2018-07-30","290000.00","207.14","1400.00","1400.00","LA PALMA CONDO","Yes","28"
"RX-10447079","Residential","2778 S Ocean Boulevard 304s","475000.00","50434423100023040","2018-08-01","400000.00","176.52","2266.00","2266.00","SUTTON PLACE CONDO","Yes","8"
"RX-10397269","Residential","2500 S Ocean Boulevard 2 D 4","1295000.00","50434423070020044","2018-08-09","1044130.00","403.13","2590.00","2590.00","TWENTY FIVE HUNDRED SOUTH OCEAN BLVD CONDO","Yes","153"
"RX-10441831","Residential","3450 S Ocean Boulevard 802","274000.00","50434435030008020","2018-08-10","243500.00","255.77","952.00","1012.00","PATRICIAN OF PALM BEACH CONDO","Yes","28"
"FX-10134558","Residential","3250 S Ocean Boulevard 309S","550000.00","50434426030023090","2018-08-10","520000.00","297.48","1748.00","1748.00","Dorchester","No","0"
"RX-10434971","Residential","3450 S Ocean Boulevard 8140","194500.00","50434435030008140","2018-08-13","161265.00","159.98","1008.00","1008.00","PATRICIAN OF PALM BEACH CONDO","Yes","11"
"RX-10437092","Residential","2295 S Ocean Boulevard 911","399000.00","50434414040009110","2018-08-02","325000.00","208.46","1559.00","1559.00","Harbour House","Yes","56"
"RX-10443931","Residential","3460 S Ocean Boulevard 308","259000.00","50434435060003080","2018-08-14","254000.00","172.55","1472.00","1472.00","CLARIDGES II CONDO","Yes","16"
"RX-10443320","Residential","2784 S Ocean Boulevard 307 N","499000.00","50434423050013070","2018-08-14","440000.00","265.22","1659.00","1750.00","COVE CONDO","Yes","5"
